transaction_id,order_date,delivery_date,product_name,sales_channel,unit_cost_try,unit_price_try,dispatched_qty_kg,received_qty_kg,shrinkage_qty_kg,actual_lead_time_days,delay_days,gross_revenue_try,cogs_try,gross_margin_try,gross_margin_pct
TRX-0195,2025-02-16,2025-02-18,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0209,2025-02-17,2025-02-20,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0066,2025-02-18,2025-02-23,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,4,1,17388.8,12800.0,4588.8,26.39
TRX-0158,2025-02-20,2025-02-23,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0057,2025-02-20,2025-02-21,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0054,2025-02-21,2025-02-23,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0192,2025-02-22,2025-02-25,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,1,1654.8,660.0,994.8,60.12
TRX-0105,2025-02-24,2025-02-26,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0042,2025-02-26,2025-03-01,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0222,2025-03-01,2025-03-04,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,3,0,14500.0,7500.0,7000.0,48.28
TRX-0125,2025-03-02,2025-03-03,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0005,2025-03-05,2025-03-07,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0001,2025-03-06,2025-03-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0085,2025-03-10,2025-03-13,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0201,2025-03-14,2025-03-17,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0051,2025-03-18,2025-03-21,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0068,2025-03-21,2025-03-24,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,3,0,17388.8,12800.0,4588.8,26.39
TRX-0014,2025-03-22,2025-03-23,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0041,2025-03-22,2025-03-25,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0059,2025-03-25,2025-03-28,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0058,2025-03-26,2025-03-29,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,1,8539.2,3840.0,4699.2,55.03
TRX-0168,2025-03-30,2025-04-02,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0053,2025-03-30,2025-04-02,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,1,8539.2,3840.0,4699.2,55.03
TRX-0096,2025-03-30,2025-04-01,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0081,2025-04-03,2025-04-06,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0183,2025-04-04,2025-04-06,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0023,2025-04-05,2025-04-06,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0113,2025-04-05,2025-04-10,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,4,1,25428.0,19000.0,6428.0,25.28
TRX-0109,2025-04-06,2025-04-09,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,2,1,25428.0,19000.0,6428.0,25.28
TRX-0033,2025-04-07,2025-04-10,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0118,2025-04-08,2025-04-10,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,2,0,25428.0,19000.0,6428.0,25.28
TRX-0185,2025-04-08,2025-04-10,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0141,2025-04-09,2025-04-10,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0007,2025-04-12,2025-04-13,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0043,2025-04-14,2025-04-16,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0080,2025-04-18,2025-04-21,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0017,2025-04-20,2025-04-22,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0137,2025-04-22,2025-04-25,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0046,2025-04-22,2025-04-26,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,1,8539.2,3840.0,4699.2,55.03
TRX-0045,2025-04-24,2025-04-27,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,1,8539.2,3840.0,4699.2,55.03
TRX-0032,2025-04-24,2025-04-27,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0063,2025-04-25,2025-04-28,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,2,1,17388.8,12800.0,4588.8,26.39
TRX-0153,2025-04-26,2025-04-27,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0031,2025-04-26,2025-04-27,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0103,2025-04-29,2025-05-02,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,1,8313.0,3800.0,4513.0,54.29
TRX-0138,2025-04-30,2025-05-02,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0056,2025-05-01,2025-05-03,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0165,2025-05-03,2025-05-05,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,2,0,5692.5,4000.0,1692.5,29.73
TRX-0224,2025-05-05,2025-05-06,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,1,0,14500.0,7500.0,7000.0,48.28
TRX-0199,2025-05-13,2025-05-14,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0166,2025-05-13,2025-05-17,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,4,0,5692.5,4000.0,1692.5,29.73
TRX-0228,2025-05-13,2025-05-15,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,2,0,14500.0,7500.0,7000.0,48.28
TRX-0148,2025-05-17,2025-05-19,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0016,2025-05-17,2025-05-20,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0149,2025-05-17,2025-05-19,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,1,2972.0,1200.0,1772.0,59.62
TRX-0193,2025-05-18,2025-05-19,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0102,2025-05-19,2025-05-20,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0219,2025-05-21,2025-05-25,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,4,0,4523.2,3157.0,1366.2,30.2
TRX-0073,2025-05-22,2025-05-26,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,1,8313.0,3800.0,4513.0,54.29
TRX-0143,2025-05-25,2025-05-29,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,1,2972.0,1200.0,1772.0,59.62
TRX-0026,2025-05-29,2025-05-30,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0115,2025-05-30,2025-06-01,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,2,0,25428.0,19000.0,6428.0,25.28
TRX-0002,2025-06-06,2025-06-07,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0132,2025-06-10,2025-06-13,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0182,2025-06-12,2025-06-14,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0060,2025-06-14,2025-06-17,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0220,2025-06-15,2025-06-17,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,1,1,14500.0,7500.0,7000.0,48.28
TRX-0231,2025-06-19,2025-06-23,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,4,0,60000.0,37500.0,22500.0,37.5
TRX-0079,2025-06-22,2025-06-23,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0216,2025-06-22,2025-06-26,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,2,2,4523.2,3157.0,1366.2,30.2
TRX-0036,2025-06-22,2025-06-25,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0215,2025-06-22,2025-06-26,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,3,1,4523.2,3157.0,1366.2,30.2
TRX-0225,2025-06-26,2025-06-28,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,2,0,14500.0,7500.0,7000.0,48.28
TRX-0039,2025-06-27,2025-06-28,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0062,2025-06-27,2025-06-29,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,2,0,17388.8,12800.0,4588.8,26.39
TRX-0212,2025-06-29,2025-07-02,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,3,0,4523.2,3157.0,1366.2,30.2
TRX-0069,2025-06-30,2025-07-05,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,3,2,17388.8,12800.0,4588.8,26.39
TRX-0232,2025-07-05,2025-07-09,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,3,1,60000.0,37500.0,22500.0,37.5
TRX-0236,2025-07-06,2025-07-09,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,3,0,60000.0,37500.0,22500.0,37.5
TRX-0049,2025-07-06,2025-07-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0061,2025-07-07,2025-07-10,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,3,0,17388.8,12800.0,4588.8,26.39
TRX-0157,2025-07-11,2025-07-12,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0077,2025-07-12,2025-07-14,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0156,2025-07-12,2025-07-14,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0117,2025-07-12,2025-07-16,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,4,0,25428.0,19000.0,6428.0,25.28
TRX-0205,2025-07-13,2025-07-16,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,1,1654.8,660.0,994.8,60.12
TRX-0119,2025-07-14,2025-07-15,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0093,2025-07-14,2025-07-17,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0018,2025-07-18,2025-07-20,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0142,2025-07-18,2025-07-20,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0086,2025-07-20,2025-07-21,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0104,2025-07-22,2025-07-24,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0217,2025-07-22,2025-07-24,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,2,0,4523.2,3157.0,1366.2,30.2
TRX-0075,2025-07-23,2025-07-25,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0144,2025-07-23,2025-07-25,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0210,2025-07-26,2025-07-28,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0106,2025-07-26,2025-07-28,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0221,2025-07-30,2025-08-01,Kucukbas Besi (Canli),D2C - Perakende,7500,14500,1.0,1.0,0.0,1,1,14500.0,7500.0,7000.0,48.28
TRX-0040,2025-07-31,2025-08-02,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0011,2025-08-01,2025-08-02,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0015,2025-08-02,2025-08-05,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0100,2025-08-03,2025-08-06,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,0,8313.0,3800.0,4513.0,54.29
TRX-0006,2025-08-03,2025-08-04,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0095,2025-08-04,2025-08-06,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0136,2025-08-05,2025-08-07,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0202,2025-08-05,2025-08-06,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0213,2025-08-06,2025-08-10,Kuru Uzum,B2B - Toptan,110,160,28.7,28.27,0.43,4,0,4523.2,3157.0,1366.2,30.2
TRX-0181,2025-08-06,2025-08-08,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,0,1654.8,660.0,994.8,60.12
TRX-0101,2025-08-08,2025-08-10,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0133,2025-08-08,2025-08-11,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0083,2025-08-09,2025-08-13,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,3,1,8313.0,3800.0,4513.0,54.29
TRX-0177,2025-08-09,2025-08-10,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0071,2025-08-10,2025-08-13,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,2,1,17388.8,12800.0,4588.8,26.39
TRX-0208,2025-08-12,2025-08-15,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0111,2025-08-12,2025-08-15,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,3,0,25428.0,19000.0,6428.0,25.28
TRX-0084,2025-08-14,2025-08-16,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,0,8313.0,3800.0,4513.0,54.29
TRX-0047,2025-08-15,2025-08-16,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,0,8539.2,3840.0,4699.2,55.03
TRX-0203,2025-08-24,2025-08-27,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0151,2025-08-25,2025-08-29,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,1,2972.0,1200.0,1772.0,59.62
TRX-0131,2025-08-26,2025-08-29,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,3,0,2972.0,1200.0,1772.0,59.62
TRX-0129,2025-08-28,2025-08-29,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0186,2025-08-28,2025-08-29,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0065,2025-08-30,2025-09-03,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,4,0,17388.8,12800.0,4588.8,26.39
TRX-0176,2025-09-01,2025-09-02,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0160,2025-09-03,2025-09-06,Pekmez,B2B - Toptan,160,230,25.0,24.75,0.25,3,0,5692.5,4000.0,1692.5,29.73
TRX-0072,2025-09-03,2025-09-05,Bal,B2B - Toptan,320,440,40.0,39.52,0.48,2,0,17388.8,12800.0,4588.8,26.39
TRX-0098,2025-09-06,2025-09-07,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,1,0,8313.0,3800.0,4513.0,54.29
TRX-0028,2025-09-06,2025-09-09,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,3,0,8539.2,3840.0,4699.2,55.03
TRX-0112,2025-09-08,2025-09-12,Cig Antep Fistigi,B2B - Toptan,380,520,50.0,48.9,1.1,2,2,25428.0,19000.0,6428.0,25.28
TRX-0035,2025-09-10,2025-09-12,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,2,0,8539.2,3840.0,4699.2,55.03
TRX-0188,2025-09-12,2025-09-15,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,2,1,1654.8,660.0,994.8,60.12
TRX-0237,2025-09-16,2025-09-20,Kucukbas Besi (Canli),B2B - Toptan,7500,12000,5.0,5.0,0.0,4,0,60000.0,37500.0,22500.0,37.5
TRX-0146,2025-09-16,2025-09-17,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,1,0,2972.0,1200.0,1772.0,59.62
TRX-0097,2025-09-17,2025-09-20,Cig Antep Fistigi,D2C - Perakende,380,850,10.0,9.78,0.22,2,1,8313.0,3800.0,4513.0,54.29
TRX-0170,2025-09-18,2025-09-19,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0197,2025-09-20,2025-09-21,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,1,0,1654.8,660.0,994.8,60.12
TRX-0121,2025-09-23,2025-09-25,Pekmez,D2C - Perakende,160,400,7.5,7.43,0.07,2,0,2972.0,1200.0,1772.0,59.62
TRX-0198,2025-09-27,2025-09-30,Kuru Uzum,D2C - Perakende,110,280,6.0,5.91,0.09,3,0,1654.8,660.0,994.8,60.12
TRX-0019,2025-09-29,2025-10-01,Bal,D2C - Perakende,320,720,12.0,11.86,0.14,1,1,8539.2,3840.0,4699.2,55.03
